rollout/episodes,total/epochs,rollout/episode_steps,total/duration,reference_perturbed_action_std,train/loss_actor,total/episodes,total/steps,train/param_noise_distance,rollout/return,rollout/actions_mean,reference_action_std,reference_actor_Q_std,total/steps_per_second,reference_perturbed_action_mean,reference_Q_std,rollout/actions_std,reference_Q_mean,rollout/Q_mean,param_noise_stddev,obs_rms_std,obs_rms_mean,reference_action_mean,reference_actor_Q_mean,rollout/return_history,train/loss_critic
20.0,1,1386.05,142.639330864,0.916339278221,-9138.82919922,20.0,27721,,95049.7712168,0.0434978895699,0.897209942341,2882.68286133,194.343312129,0.242974251509,2879.24511719,0.46411945257,9356.32226562,9101.54192975,0.2,0.200399786234,0.242048293352,-0.0461582168937,9389.09570312,95049.7712168,61267.3042773
40.0,2,1054.05,228.25846982,0.918952226639,-8686.97379883,40.0,42162,,66742.7552091,0.0348474157883,0.873319447041,2833.24414062,184.711656191,-0.222984030843,2836.984375,0.489522686368,9416.46875,8686.94373803,0.2,0.200391069055,0.242038547993,-0.0225638635457,9449.35253906,66742.7552091,47810.2323633
60.0,3,1073.48333333,348.903308153,0.926452040672,-8881.90376953,60.0,64409,,67829.7182393,0.032896691401,0.894796669483,2807.53808594,184.604153916,-0.251783430576,2812.13183594,0.492309154077,9515.55859375,8793.95134643,0.124052081013,0.200405597687,0.24208804965,-0.124769695103,9571.43164062,67829.7182393,50526.0226953
80.0,4,1165.4125,514.568412542,0.906951546669,-9209.66253906,80.0,93233,,75890.1274399,0.0292750540751,0.891187012196,2910.35913086,181.18679213,-0.14959782362,2910.50415039,0.472672935049,9629.25976562,9052.89594736,0.124052081013,0.200435191393,0.242204219103,-0.112768553197,9682.40234375,75890.1274399,51330.6757812
100.0,5,1204.81,656.016127348,0.901114404202,-9291.31658203,100.0,120481,,80454.5136151,0.0310428309946,0.897701203823,2968.19506836,183.655545919,-0.0105607407168,2964.33642578,0.455798361898,9771.20703125,9188.3071597,0.124052081013,0.200437366962,0.242295429111,-0.139936700463,9817.49023438,80454.5136151,39243.6448828
120.0,6,1259.29166667,806.991331816,0.896623075008,-9402.28222656,120.0,151115,,85616.6426019,0.0288078765779,0.892725646496,3033.83422852,187.257277795,-0.0962863713503,3022.67114258,0.447228855507,9881.15234375,9344.85745161,0.124052081013,0.200460344553,0.242446273565,-0.121711097658,9924.65136719,83730.0168789,58456.6252734
140.0,7,1309.48571429,970.817401409,0.891534924507,-9511.91289063,140.0,183328,,88463.4219831,0.0327517014589,0.899438738823,3067.796875,188.838807106,0.0029223933816,3052.29467773,0.455025353805,9919.69335938,9377.99865679,0.124052081013,0.200447022915,0.242567658424,-0.0886135697365,9965.7578125,97151.6886926,78214.3861719
160.0,8,1329.8625,1118.18198466,0.899495542049,-9448.96037109,160.0,212778,,89025.2700745,0.0294701959087,0.900230586529,3133.58203125,190.289239961,-0.115769915283,3115.49462891,0.455764262359,9958.85839844,9395.12659501,0.124052081013,0.200432106853,0.242663249373,-0.0949121192098,10000.90625,101742.601176,143037.945059
180.0,9,1345.70555556,1267.09460711,0.890012085438,-9433.34232422,180.0,242227,,91214.014599,0.0305366439213,0.905080318451,3146.2277832,191.167256683,0.077899672091,3139.21679688,0.452694431245,9940.87695312,9410.05157229,0.124052081013,0.200423747301,0.242745146155,-0.0136750554666,9983.93359375,103473.124326,59250.6724805
200.0,10,1357.785,1417.38402867,0.895257711411,-9389.25654297,200.0,271557,,93226.1015802,0.0307947954127,0.906564891338,3177.11938477,191.590277939,-0.0994339585304,3156.63793945,0.45009192744,9926.85351562,9467.48423548,0.124052081013,0.200400263071,0.242821931839,-0.0699523463845,9963.62890625,105997.689545,42860.3191016
220.0,11,1403.24545455,1592.54375911,0.914734125137,-9428.52845703,220.0,308714,,97777.2277768,0.0281944880207,0.906298935413,3150.59545898,193.849618407,0.017076369375,3139.63525391,0.442786235973,9880.87207031,9512.34913094,0.0884458266721,0.200359493494,0.242942050099,0.000707174651325,9917.84082031,112369.929987,43583.0871875
240.0,12,1378.0375,1710.44456339,0.916839063168,-9351.99265625,240.0,330729,,94765.1619042,0.0307572772737,0.908259689808,3114.61035156,193.358502859,-0.097056210041,3099.19946289,0.444104000617,9830.57617188,9412.8256493,0.0769445940183,0.200354978442,0.242954552174,-0.0274456106126,9867.79394531,103587.597794,52483.5474414
260.0,13,1469.16923077,1958.36362123,0.919059813023,-9474.46826172,260.0,381984,,103967.451676,0.0322403063306,0.915622234344,3134.81030273,195.052642859,-0.0582787953317,3133.14697266,0.42591170035,9781.99121094,9593.27332054,0.0754284815394,0.200411364436,0.243323534727,0.0457954593003,9823.89257812,127874.942237,44927.0051563
280.0,14,1484.71071429,2139.54908156,0.904700696468,-9561.19910156,280.0,415719,,106825.613631,0.0341943829628,0.904844462872,3116.09301758,194.302156273,0.0489963889122,3109.16040039,0.422957046771,9745.62304688,9684.61838883,0.0754284815394,0.200473502278,0.243528202176,-0.0195312425494,9777.48632812,134926.491889,32939.4032129
300.0,15,1488.78333333,2290.00807405,0.914877891541,-9492.96839844,300.0,446635,,107864.027267,0.0332178495395,0.901935338974,3073.63110352,195.036430248,0.00580482278019,3067.32397461,0.4213307343,9668.1953125,9683.26959289,0.0710570416366,0.200462460518,0.243611335754,-0.0424576699734,9695.859375,137139.878639,37320.6266992
320.0,16,1501.703125,2491.9160049,0.91711294651,-9497.92740234,320.0,480545,,109508.76105,0.0344717779542,0.91321927309,3064.484375,192.84157213,0.000199623405933,3063.82006836,0.424574651927,9596.98046875,9710.56667513,0.0710570416366,0.200463876128,0.243756756186,0.0258814934641,9626.92382812,135318.134252,45564.4504102
340.0,17,1548.23529412,2728.79524088,0.901627838612,-9416.62958984,340.0,526400,0.201128161252,113440.235185,0.0364394423998,0.909691631794,3053.2421875,192.905642796,0.0032864138484,3049.52612305,0.418584203679,9487.7578125,9713.59481791,0.0669389475051,0.200473219156,0.243985831738,-0.0477029904723,9513.07226562,158260.411057,53077.191416
