total/epochs,rollout/actions_std,total/steps,reference_Q_std,reference_Q_mean,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_mean,rollout/return_history,reference_perturbed_action_std,reference_action_mean,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/return,total/episodes,total/duration,train/loss_critic,total/steps_per_second,reference_actor_Q_mean,reference_perturbed_action_mean,train/loss_actor,rollout/episodes,obs_rms_std,rollout/episode_steps
25,0.490043021752,486572,524.176879883,1091.08422852,0.860593855381,0.00698351626461,533.260253906,0.128466188908,29313.656129,0.862065970898,-0.099832765758,858.314989865,,0.0326994138044,19595.3767278,500.0,2567.342834,3803.45041382,189.523578058,1119.16137695,-0.0719423890114,-1664.22929443,500.0,0.170235589147,973.144
26,0.48614922901,498318,538.750610352,1174.91577148,0.867423653603,0.00519906224553,544.481262207,0.130320727825,30228.9453147,0.864118039608,-0.0600917711854,908.620934061,,0.0326994138044,20159.797793,520.0,2648.11166048,4398.74303589,188.178620802,1202.22180176,-0.111883893609,-1775.51470947,520.0,0.171249493957,958.303846154
27,0.48236526886,510526,550.555725098,1188.53588867,0.870902359486,0.00333206532823,568.211547852,0.13207000494,30558.8067873,0.898793935776,0.129696279764,960.188625099,,0.0296023527432,20718.8694786,540.0,2727.60895371,5407.06947998,187.169791808,1223.5802002,0.173294231296,-1841.65710937,540.0,0.172068715096,945.418518519
28,0.480824446133,524112,576.920349121,1244.25512695,0.881433904171,0.00580221593198,588.505187988,0.133481621742,31463.9998616,0.888131678104,0.0719278156757,1006.3675916,,0.0296023527432,21059.9872979,560.0,2819.15840244,5862.69484131,185.910802155,1275.68383789,0.155344024301,-1992.15640625,560.0,0.172653257847,935.914285714
29,0.475911136883,538455,638.186767578,1360.00170898,0.864399194717,0.00450792212958,651.604492188,0.13477241993,30776.539875,0.851868748665,-0.191101580858,1052.61741075,,0.0361204959763,21224.0604302,580.0,2905.20246696,6326.09967041,185.341643525,1392.92358398,-0.168855726719,-2093.9706958,580.0,0.173172384501,928.370689655
30,0.474884393335,552036,635.182006836,1333.05603027,0.823161840439,-0.000806160649811,638.032043457,0.136047631502,30988.5013676,0.835319876671,-0.327792435884,1102.61578818,,0.0361204959763,21494.2308345,600.0,2996.77815509,4312.14164429,184.209831836,1337.4909668,-0.209774702787,-2115.60813232,600.0,0.173688620329,920.06
31,0.47304260504,568157,665.914489746,1432.48071289,0.881299853325,-0.0052075618775,681.475952148,0.136938899755,30282.6690054,0.848549425602,-0.141234621406,1151.26398522,,0.0361204959763,21792.5189563,620.0,3101.91720271,4284.44202026,183.163173892,1449.20410156,-0.294151037931,-2211.00165039,620.0,0.173981457949,916.382258065
32,0.470211474302,580103,687.499023438,1409.7824707,0.836765706539,-0.00686191574304,696.907836914,0.138234436512,28948.4913868,0.820142567158,-0.0624845698476,1199.37738422,,0.0361204959763,22004.7479017,640.0,3185.43680859,3997.24675537,182.110974054,1426.10351562,-0.274530380964,-2295.57880859,640.0,0.17451813817,906.4109375
33,0.466751277892,591435,703.896606445,1424.24853516,0.891225218773,-0.00693412954932,708.608947754,0.139464467764,28294.5599788,0.884023606777,0.139607489109,1245.72224499,,0.0361204959763,22156.1346738,660.0,3269.41470933,5227.45737549,180.899351285,1440.38305664,0.10869654268,-2353.90006348,660.0,0.174946799874,896.113636364
34,0.46354113822,602344,688.394348145,1483.62353516,0.866935312748,-0.00731881460682,700.504638672,0.140592709184,28041.0400124,0.886929571629,0.0505929738283,1288.56134669,,0.0449597542038,22226.5574276,680.0,3355.9319768,9838.36008301,179.486355553,1516.89819336,-0.0434096381068,-2435.85262207,680.0,0.175351440907,885.8
35,0.465490671249,618905,735.534729004,1644.25585938,0.869596362114,-0.0071134543503,745.444763184,0.141158878803,28036.823659,0.857762694359,-0.0673507228494,1328.47582178,,0.0449597542038,22428.8869523,700.0,3458.99817777,9732.14205811,178.92608443,1696.68725586,-0.201928526163,-2553.59907715,700.0,0.175347089767,884.15
