reference_perturbed_action_mean,total/episodes,reference_Q_std,reference_actor_Q_mean,total/epochs,total/steps,param_noise_stddev,train/param_noise_distance,total/duration,train/loss_critic,reference_Q_mean,rollout/return,rollout/actions_mean,rollout/episodes,reference_action_mean,reference_perturbed_action_std,obs_rms_mean,rollout/Q_mean,train/loss_actor,rollout/return_history,obs_rms_std,total/steps_per_second,reference_action_std,reference_actor_Q_std,rollout/actions_std,rollout/episode_steps
0.206872195005,20.0,2794.22436523,3920.53027344,1,16486,0.2,,83.8479967117,99533.1090234,3889.11425781,32687.4406918,0.177469389353,20.0,0.0777095109224,0.948196351528,0.16341266036,3452.78609222,-3663.60145996,32687.4406918,0.171224266291,196.617696863,0.969031512737,2810.35107422,0.798975457259,824.3
0.125876769423,40.0,2788.39257812,4232.64453125,2,40123,0.121607764938,,203.591352224,54878.0216406,4204.81835938,36064.5671868,0.173591393553,40.0,0.131844699383,0.961059510708,0.163579896092,3558.73135489,-3840.42928223,36064.5671868,0.171322911978,197.07615064,0.968049824238,2798.81176758,0.765499171195,1003.075
-0.00312894769013,60.0,2767.14916992,4316.65917969,3,67177,0.121607764938,,333.501230001,58264.9189258,4298.96044922,48892.2732578,0.105291095384,60.0,0.0206083450466,0.978218436241,0.163951724768,3936.20011717,-4377.88397461,48892.2732578,0.171425580978,201.429541953,0.985226690769,2790.5625,0.821666692013,1119.61666667
-0.00717256963253,80.0,2764.71264648,4470.14648438,4,103502,0.121607764938,,490.063723326,46879.9627539,4449.01757812,67909.5333662,0.0753952059699,80.0,0.0690409466624,0.982189416885,0.164517581463,4473.86999973,-4801.44948242,67909.5333662,0.171618998051,211.201105231,0.98013228178,2768.02490234,0.813444980969,1293.775
