reference_perturbed_action_std,rollout/episodes,reference_actor_Q_std,rollout/return,reference_action_std,rollout/Q_mean,total/episodes,total/duration,reference_actor_Q_mean,obs_rms_std,total/steps,train/loss_critic,rollout/actions_mean,rollout/return_history,param_noise_stddev,reference_Q_mean,obs_rms_mean,total/epochs,reference_perturbed_action_mean,rollout/actions_std,rollout/episode_steps,reference_Q_std,train/param_noise_distance,total/steps_per_second,reference_action_mean,train/loss_actor
0.661130428314,20.0,1941.52148438,-5314.49836144,0.79154998064,1322.22606245,20.0,66.3016700745,1487.89331055,0.145709693432,16972,19315.4444043,-0.30753548158,-5314.49836144,0.2,1461.89477539,0.673502802849,1,-0.749165117741,0.827746549413,848.6,1938.23962402,,255.981485548,-0.483329206705,-1363.57268555
0.815283417702,40.0,1965.70410156,5068.63723024,0.785426199436,2726.62636817,40.0,159.180571318,1601.51708984,0.145746290684,44659,21527.3707715,-0.161662554528,5068.63723024,0.121607764938,1576.68701172,0.673457741737,2,-0.508199751377,0.795873310708,1116.475,1959.92980957,,280.555595638,-0.503580987453,-2823.22111328
0.947275936604,60.0,1993.13647461,14740.5604055,0.880093097687,3270.20739386,60.0,256.855200529,1597.55371094,0.145787283778,81743,25263.8080469,-0.148747253114,14740.5604055,0.121607764938,1577.82849121,0.673380255699,3,-0.217082247138,0.757604238035,1362.38333333,1984.7980957,,318.245454371,-0.285411298275,-3453.40422363
0.852985441685,80.0,2039.59899902,15208.2893338,0.935081481934,3313.24238372,80.0,330.912892103,1622.16552734,0.145818084478,105889,22470.4023779,-0.0922833333651,15208.2893338,0.121607764938,1589.40893555,0.67333060503,4,-0.464486122131,0.76090802135,1323.6125,2031.14367676,,319.990554998,-0.112331926823,-3452.74663574
0.959794938564,100.0,2025.86999512,27725.2753602,0.949173629284,4082.73156635,100.0,416.04043746,1670.11743164,0.145817413926,133670,22242.0035352,-0.0709643249532,27725.2753602,0.0739422424658,1639.54833984,0.673315703869,5,-0.0119121121243,0.731734952938,1336.7,2016.78564453,,321.290884165,-0.107312567532,-4348.81532227
0.751366972923,120.0,1998.29602051,43454.0594583,0.945219576359,4796.50367978,120.0,522.111255884,1760.84350586,0.145828515291,171106,21277.377832,-0.0463074607671,53207.7710223,0.0739422424658,1730.75976562,0.673296570778,6,-0.600793778896,0.703967119261,1425.88333333,1992.23449707,,327.719423919,-0.0241197273135,-4962.6334668
0.916384518147,140.0,1964.81176758,68364.1583526,0.943775951862,5830.34961597,140.0,654.140548229,1828.92102051,0.145829424262,216919,16042.6929248,-0.0407097858819,93682.3668016,0.0449597542038,1790.82751465,0.673314332962,7,-0.0939168930054,0.651245372135,1549.42142857,1958.98962402,,331.609163485,0.00410113250837,-5998.94924805
0.896485626698,160.0,1980.29870605,72522.656219,0.939233541489,6106.40119618,160.0,736.348137617,1887.65625,0.145822286606,244373,16786.7616943,-0.0431993640682,107191.913707,0.0449597542038,1856.04736328,0.673300206661,8,-0.205098986626,0.632964153862,1527.33125,1972.85461426,,331.871553028,-0.0615161173046,-6369.50348633
0.951736569405,180.0,1969.00244141,89159.9892689,0.928622245789,6743.53525359,180.0,864.011453152,1888.02368164,0.145822495222,291680,13281.2206885,-0.0327719762602,148321.349217,0.0449597542038,1863.10974121,0.673326313496,9,-0.125206306577,0.601198010486,1620.44444444,1958.1920166,,337.588117537,-0.0967201963067,-7060.34874023
0.892038345337,200.0,1881.16162109,103966.633406,0.915567278862,7219.28867658,200.0,1001.20980382,1921.43652344,0.1458132267,341061,116077.31854,-0.0386496971069,180207.991452,0.0273372761044,1890.19567871,0.673346221447,10,-0.126992806792,0.568916712366,1705.305,1876.84423828,,340.648881682,-0.00389002147131,-7368.69518555
0.892690598965,220.0,1946.38269043,109647.567225,0.90798074007,7409.90207358,220.0,1112.45168138,1993.36682129,0.145823970437,378243,22124.5783496,-0.0299268326554,189079.776545,0.0273372761044,1962.18432617,0.673357844353,11,-0.143975630403,0.554417279904,1719.28636364,1937.24987793,,340.008475274,-0.0547917895019,-7616.62962891
0.909116387367,240.0,1892.31237793,119938.107905,0.891937255859,7746.44624392,240.0,1238.13024926,1974.48364258,0.145810499787,421647,18065.1867285,-0.0293021668639,192141.637278,0.0273372761044,1950.51000977,0.673381388187,12,-0.0436139814556,0.53374878094,1756.8625,1882.73498535,,340.551408264,-0.0120322629809,-7824.21883789
0.851901292801,260.0,1895.00524902,123400.219724,0.878394246101,7875.34155118,260.0,1347.91673708,1956.19299316,0.145816102624,457619,22024.0118652,-0.0317195559117,204804.321331,0.0169562299499,1928.68334961,0.673389792442,13,-0.387127876282,0.528531452725,1760.07307692,1884.77258301,,339.500940534,-0.142026305199,-8023.61676758
0.88593006134,280.0,1885.49206543,130605.012906,0.896726250648,8088.59007725,280.0,1473.2325387,2084.515625,0.14579603076,500369,60929.7959375,-0.0280394667906,205206.055453,0.0169562299499,2051.80664062,0.67340195179,14,0.171329259872,0.512133099156,1787.03214286,1875.23742676,,339.640204011,-0.0150973303244,-8258.01217773
0.873699784279,300.0,1906.40515137,139908.709276,0.881736338139,8356.87597303,300.0,1623.20732021,2108.65478516,0.145782440901,549828,21405.6250488,-0.0244699481995,211792.861015,0.0169562299499,2074.35473633,0.673438251019,15,-0.211572244763,0.495069354027,1832.76,1896.02233887,,338.72937434,-0.197388097644,-8590.81416992
0.839385569096,320.0,1914.66125488,139792.860648,0.844952404499,8306.4709811,320.0,1731.91347599,2129.61523438,0.14578717947,588867,41049.8720313,-0.0299395815401,206112.506178,0.0169562299499,2090.96289062,0.673410415649,16,-0.339898079634,0.495579365258,1840.209375,1900.54907227,,340.009479783,-0.269302040339,-8648.66005859
0.89984613657,340.0,1917.22644043,141130.055797,0.909621357918,8372.73460271,340.0,1840.94364691,2189.87915039,0.145783185959,624630,14347.3883887,-0.0285203856269,191990.730739,0.0169562299499,2150.67993164,0.673419952393,17,-0.0266570467502,0.488032689988,1837.14705882,1903.30505371,,339.298816153,-0.00287897442468,-8694.53078125
0.900862812996,360.0,1913.9152832,146608.689561,0.863688409328,8574.72679974,360.0,1949.03984547,2189.70605469,0.145771354437,665901,23568.5750684,-0.0264031115956,206950.711139,0.0169562299499,2158.05175781,0.673434376717,18,-0.163172960281,0.477063924148,1849.725,1900.44665527,,341.65591922,-0.265616685152,-9033.43136719
0.885532438755,380.0,1922.46386719,146169.670893,0.879632413387,8631.95298856,380.0,2032.31751919,2214.5546875,0.145757094026,693205,19276.2660645,-0.0237690196717,189750.713257,0.0159735356322,2179.3581543,0.673430800438,19,-0.158662006259,0.47218807077,1824.22368421,1908.01293945,,341.09089424,-0.111098028719,-9033.97019531
0.900014400482,400.0,1940.83972168,151795.861213,0.879606485367,8814.31276792,400.0,2161.23940825,2252.16967773,0.145753204823,737017,25483.492334,-0.0232360705943,187457.317025,0.0159735356322,2217.39868164,0.673470675945,20,-0.069643355906,0.463320708003,1842.5425,1923.66699219,,341.015899111,-0.0365483649075,-9203.57862305
0.85447371006,420.0,2021.71362305,152419.504504,0.847982347012,8805.07786813,420.0,2265.61794925,2364.06445312,0.145757451653,776772,22010.2253613,-0.0209365132823,192824.764845,0.0159735356322,2315.84472656,0.673453330994,21,-0.304147988558,0.463903009009,1849.45714286,2011.26745605,,342.85215663,-0.288195461035,-8979.65297852
0.911712110043,440.0,1929.21691895,153655.951674,0.910860478878,8803.56636696,440.0,2387.57914495,2610.40844727,0.145762398839,820377,20730.4709766,-0.011801172632,196243.997657,0.0159735356322,2561.58618164,0.673436224461,22,0.011483784765,0.463341928468,1864.49318182,1915.2310791,,343.602012831,0.0233525186777,-9145.67949219
0.864540398121,460.0,1910.25256348,157904.91543,0.884187817574,8903.36850199,460.0,2534.19557905,2583.39404297,0.145769357681,871834,48767.5355469,-0.00381082059891,198571.328559,0.0159735356322,2553.38452148,0.67345815897,23,-0.237890765071,0.461944306668,1895.29130435,1898.14172363,,344.027906609,-0.128095969558,-9288.98789062
0.788992524147,480.0,1930.26074219,158041.110165,0.767966389656,8953.96654483,480.0,2637.99607611,2501.00097656,0.145763963461,903389,63789.280918,-0.0036308278596,203152.579397,0.0159735356322,2463.53295898,0.673470675945,24,-0.479889392853,0.456446660952,1882.06041667,1912.72814941,,342.452745924,-0.498858898878,-9240.25873047
