obs_rms_mean,param_noise_stddev,rollout/episode_steps,rollout/actions_mean,reference_perturbed_action_mean,rollout/episodes,reference_Q_std,train/loss_actor,total/epochs,rollout/actions_std,reference_action_mean,train/param_noise_distance,rollout/return,reference_action_std,reference_actor_Q_mean,total/steps_per_second,reference_actor_Q_std,train/loss_critic,reference_perturbed_action_std,total/duration,reference_Q_mean,total/episodes,rollout/Q_mean,obs_rms_std,rollout/return_history,total/steps
0.15521389246,0.2,1137.45,-0.193329234337,0.116884835064,20.0,2956.37255859,-3325.89146973,1,0.811544010029,0.124815642834,,27150.0652682,0.954437434673,3919.2890625,212.111385935,2947.62573242,18401.244834,0.935769975185,107.250253916,3893.95117188,20.0,3337.07071953,0.170949935913,27150.0652682,22749
0.155131578445,0.2,995.225,-0.239156328816,-0.116194143891,40.0,2953.80151367,-3630.75431641,2,0.769508955585,0.0728168413043,,26676.5346048,0.951371073723,4061.1640625,200.040780335,2952.82348633,23240.7076367,0.942866683006,199.004422665,4040.00708008,40.0,3592.24955212,0.171018600464,26676.5346048,39809
0.154961824417,0.2,1014.81666667,-0.151417241958,0.0888857170939,60.0,2967.15161133,-3930.42806152,3,0.760087233868,0.225619241595,,25408.2779589,0.907685279846,4100.31884766,202.172848677,2965.55834961,25689.64875,0.949334442616,301.172983408,4080.83154297,60.0,3779.07400014,0.171039626002,25408.2779589,60889
0.154952034354,0.121607764938,932.4875,-0.109593685804,0.0471816733479,80.0,2962.64404297,-4009.88609375,4,0.758377291996,0.167577058077,,24314.3410451,0.915064036846,4098.36474609,195.02814586,2960.88574219,19031.5880566,0.926421225071,382.503764629,4080.64306641,80.0,3939.83228458,0.171079456806,24314.3410451,74599
0.155003681779,0.121607764938,856.31,-0.09327904464,0.108687534928,100.0,2954.73608398,-4282.74393555,5,0.743977936105,0.147815734148,,23047.6849336,0.910562098026,4091.25024414,188.201718009,2952.45092773,23744.0570312,0.933924853802,454.99584651,4070.75195312,100.0,4118.90579169,0.171096354723,23047.6849336,85631
0.155060455203,0.121607764938,809.258333333,-0.0690735145115,0.0636057853699,120.0,2888.79907227,-4321.73996582,6,0.719591778553,0.111507482827,,22192.0471,0.914671361446,4119.04296875,183.283757856,2883.97729492,20946.8866113,0.943737745285,529.839638472,4102.15917969,120.0,4222.78434764,0.171160548925,21200.4434664,97111
0.155131325126,0.0769445940183,785.685714286,-0.0388145807044,0.227258682251,140.0,2847.70654297,-4396.9622998,7,0.707119105777,0.115725710988,,22780.2232438,0.912722051144,4116.953125,180.893654935,2841.78881836,24707.1413477,0.901621699333,608.069973707,4098.05419922,140.0,4358.16498429,0.171213239431,21221.6986995,109996
0.155210018158,0.0618169949515,773.74375,-0.0374714880766,0.0533962249756,160.0,2825.56567383,-4400.41069336,8,0.694573809598,0.138529732823,,24495.4950907,0.930946528912,4092.27246094,179.333200321,2822.78198242,22761.3153125,0.927911400795,690.329508305,4074.77294922,160.0,4487.61403576,0.171241462231,23947.8253699,123799
0.155232459307,0.0618169949515,772.138888889,-0.0470188676362,0.184307053685,180.0,2832.30249023,-4530.68190918,9,0.683471624811,0.0454803183675,,25792.9697764,0.935479998589,4075.36206055,179.19263067,2828.8996582,31506.0598438,0.892590343952,775.617833614,4059.48095703,180.0,4542.7940639,0.171297311783,26975.8727614,138985
0.155119806528,0.0618169949515,789.885,-0.0557784500902,0.009231897071,200.0,2840.60400391,-4497.45714844,10,0.678270841069,0.0392974242568,,26760.2817231,0.935512363911,4065.62695312,180.987463539,2840.35498047,19004.0263086,0.93263810873,872.861561298,4049.46020508,200.0,4458.81581687,0.171377494931,30472.8785127,157977
0.15504181385,0.0618169949515,806.845454545,-0.0378602956142,0.124911114573,220.0,2872.01660156,-4443.33022949,11,0.680539983638,0.0437032580376,,27647.2633517,0.935433447361,4081.75927734,182.931922291,2868.73486328,16661.1463086,0.922164559364,970.339117289,4062.24316406,220.0,4410.6594794,0.171454042196,34193.5228536,177506
