reference_action_std,reference_Q_std,param_noise_stddev,obs_rms_mean,rollout/episodes,rollout/Q_mean,train/loss_actor,obs_rms_std,reference_actor_Q_std,total/epochs,rollout/return,total/episodes,rollout/episode_steps,rollout/actions_mean,total/steps,rollout/return_history,reference_action_mean,rollout/actions_std,reference_actor_Q_mean,reference_Q_mean,total/duration,reference_perturbed_action_mean,train/param_noise_distance,train/loss_critic,total/steps_per_second,reference_perturbed_action_std
0.827232778072,8.67317676544,0.2,0.0990235209465,20.0,-9.25599749574,20.9512882996,0.138245210052,8.28122711182,1,-9984.67342887,20.0,1924.2,0.177120728107,38484,-9984.67342887,-0.309416174889,0.591181946166,-21.9178657532,-21.441608429,92.4011173248,-0.149019673467,,10.3738386154,416.488470207,0.797679483891
0.728611648083,19.3654136658,0.121607764938,0.102083019912,40.0,-22.5457186069,47.5212600708,0.138959050179,17.8387203217,2,-9749.39410408,40.0,1915.7,-0.0227623540692,76628,-9749.39410408,-0.268481403589,0.587423976257,-44.9390640259,-45.8743133545,183.798454285,-0.323066800833,,6.06429232597,416.913190583,0.759732246399
0.716724872589,25.3204421997,0.0849947009834,0.102049015462,60.0,-36.6872711306,68.1455726624,0.138571575284,24.6226520538,3,-9490.7074525,60.0,1944.46666667,-0.129786452542,116668,-9490.7074525,0.147693693638,0.552366720822,-64.9800109863,-66.35546875,280.123254061,0.171402916312,,10.4465251064,416.488093397,0.720349490643
0.673409700394,31.7594642639,0.0527188476604,0.107379496098,80.0,-50.9422636706,95.8128024292,0.13775639236,31.3997821808,4,-9704.60550394,80.0,1945.525,-0.174105730641,155642,-9704.60550394,-0.276358008385,0.551336021778,-86.6692657471,-89.2566070557,374.283556461,-0.311396420002,,7.8022350359,415.839801971,0.664229214191
0.744958281517,42.9417953491,0.0423541222259,0.107616834342,100.0,-61.8090869185,109.364784546,0.136772632599,42.6027755737,5,-9200.04606436,100.0,1956.82,-0.180095906566,195682,-9200.04606436,-0.234598994255,0.524331651956,-96.3231582642,-99.1083450317,469.424194098,-0.326624214649,,11.7105067253,416.855378271,0.703829705715
0.754613339901,55.9074287415,0.0423541222259,0.106668323278,120.0,-71.3615827276,122.977940521,0.137766063213,55.6160469055,6,-9259.72080785,120.0,1956.88333333,-0.187336504249,234826,-9114.73028365,-0.193458035588,0.526831617346,-104.524047852,-106.624206543,562.181111813,-0.155834108591,,20.7408174467,417.7052467,0.766667246819
0.73069691658,66.5144348145,0.0391133212786,0.110553562641,140.0,-84.1330959018,135.159482727,0.139768660069,65.9272155762,7,-9403.62451881,140.0,1963.32857143,-0.210104246386,274866,-9265.3166847,-0.277134209871,0.523587740817,-113.088378906,-115.293769836,656.736038685,-0.216126978397,,22.5428475285,418.533449985,0.734750270844
0.698394715786,78.4887390137,0.0375871329561,0.111283630133,160.0,-92.3996542179,150.610286865,0.140032887459,78.3921737671,8,-9239.32845858,160.0,1953.66875,-0.224936661135,312587,-9088.50106222,-0.307025402784,0.514465524334,-122.049163818,-124.640640259,747.807956934,-0.35167106986,,15.6385441971,418.004378132,0.681109905243
0.717418730259,92.7920303345,0.0375871329561,0.111645869911,180.0,-103.920290419,163.171608276,0.140757709742,93.4765014648,9,-9434.23633836,180.0,1953.38333333,-0.246609674098,351609,-9217.94100589,-0.252367854118,0.516920943384,-127.836578369,-130.81098938,840.080124855,-0.316388845444,,23.0212398911,418.542219483,0.695620000362
0.732847213745,108.953674316,0.0284472791367,0.111791916192,200.0,-106.682824704,178.637306824,0.139687880874,109.130897522,10,-8947.389832,200.0,1954.3,-0.238899405251,390860,-8694.73359964,-0.149234995246,0.503621452732,-136.177642822,-138.987716675,934.924904108,-0.137186989188,,20.7433786106,418.065663116,0.739762663841
0.760916054249,119.508872986,0.0284472791367,0.110838063061,220.0,-114.297343556,189.143650513,0.141702204943,119.644256592,11,-8791.14851265,220.0,1953.52272727,-0.205741569673,429775,-8228.86175841,0.0295692589134,0.513349315015,-140.698822021,-142.596588135,1027.12620878,0.0994516611099,,33.7552440643,418.424723588,0.748708307743
0.749760389328,128.185272217,0.0284472791367,0.109172292054,240.0,-126.358565328,198.460097351,0.142810255289,128.348693848,12,-9100.62953328,240.0,1957.5625,-0.145931906502,469815,-8676.43655354,-0.110067047179,0.550840090779,-145.847808838,-147.807907104,1121.73714828,-0.135447099805,,65.888525629,418.828065664,0.744123637676
0.74769872427,136.304992676,0.0284472791367,0.108885258436,260.0,-133.509299127,209.656560669,0.142572566867,136.113677979,13,-9094.39485225,260.0,1960.98076923,-0.124456247568,509855,-8862.50108214,0.0812423527241,0.557995990388,-156.168365479,-157.840148926,1215.38100791,-0.0667879134417,,37.2819255543,419.502194523,0.771846473217
0.746329367161,144.559051514,0.0242604444997,0.107835620642,280.0,-138.375672122,219.88250946,0.142354696989,144.896408081,14,-9015.46892143,280.0,1946.25,-0.0987947807769,544950,-8261.68757094,-0.0544973611832,0.565245656298,-162.963394165,-163.870635986,1301.72526169,-0.0253508333117,0.230645636171,145.224631348,418.63672469,0.767094254494
0.744894444942,151.752243042,0.0242604444997,0.107267081738,300.0,-142.842867749,228.889170532,0.141745522618,151.52557373,15,-8846.64548135,300.0,1941.69,-0.0791390955295,582507,-8645.15678005,-0.0977021455765,0.563786428927,-168.461166382,-169.530609131,1392.02583623,-0.0611316971481,,112.327487173,418.459905585,0.725295066833
0.782770454884,159.433151245,0.0242604444997,0.106526315212,320.0,-147.594183973,234.82883728,0.141322821379,159.676330566,16,-8813.72682574,320.0,1934.24375,-0.0541405698653,618958,-8863.39911454,-0.180942699313,0.568576536446,-167.889694214,-169.454681396,1481.09920096,-0.152521803975,,136.129595947,417.904485802,0.782028734684
0.798520624638,166.534851074,0.0242604444997,0.106197506189,340.0,-153.805330861,242.584263306,0.14118796587,166.548400879,17,-8864.54278652,340.0,1904.83235294,-0.0352515209976,647643,-8297.93459429,-0.154022723436,0.579632970141,-173.583770752,-175.333251953,1557.17912626,-0.15948702395,,111.609330883,415.907835571,0.793530404568
0.763016164303,175.344100952,0.0224041134654,0.1060378775,360.0,-161.065786805,252.192309875,0.141282126307,175.815948486,18,-8808.43171902,360.0,1883.07777778,-0.0196933372712,677908,-8064.92757263,-0.251375228167,0.584393693863,-173.67036438,-175.193695068,1638.60614848,-0.196356654167,,85.6255042076,413.710152759,0.770979225636
0.835911154747,180.219680786,0.0211056883402,0.105922088027,380.0,-167.656177247,249.168588867,0.142210826278,180.332244873,19,-8772.22777398,380.0,1855.44210526,-0.00959165163915,705068,-8091.15256113,-0.12568384409,0.591039897368,-170.071212769,-171.945358276,1712.27188706,-0.0842225626111,,204.811941948,411.77339027,0.842766940594
0.816953361034,184.19039917,0.0228544361461,0.105159886181,400.0,-174.57431987,257.452645874,0.143012776971,184.002914429,20,-8767.76280963,400.0,1831.6675,-0.0194219299038,732667,-8531.11479448,-0.180223464966,0.596530211513,-171.650360107,-173.282104492,1786.77986789,-0.231142684817,,188.197904186,410.048833193,0.799901068211
0.894254922867,190.592651367,0.0228544361461,0.105395361781,420.0,-175.399619895,263.4657547,0.142881289124,190.427764893,21,-8462.61005891,420.0,1779.61666667,-0.0218032104487,747439,-7339.03640507,-0.106347791851,0.596380341302,-171.677276611,-173.710968018,1841.33376694,-0.133103296161,,138.513305111,405.922605353,0.883791148663
