train/param_noise_distance,reference_action_std,total/episodes,rollout/actions_std,total/steps,total/duration,reference_Q_mean,train/loss_critic,obs_rms_mean,train/loss_actor,reference_actor_Q_mean,rollout/episode_steps,rollout/Q_mean,obs_rms_std,reference_action_mean,rollout/return,rollout/episodes,param_noise_stddev,reference_actor_Q_std,reference_perturbed_action_mean,rollout/actions_mean,total/steps_per_second,total/epochs,reference_Q_std,reference_perturbed_action_std,rollout/return_history
,0.74002301693,20.0,0.535969639587,39017,98.7276973724,-25.9289569855,6.34124286652,0.11398896575,22.4606338882,-24.4782505035,1950.85,-10.9290214187,0.145493492484,0.32677641511,-10215.1772545,20.0,0.2,8.74018192291,0.710159480572,0.209978690412,395.198116014,1,7.56196069717,0.256006926298,-10215.1772545
,0.689558923244,40.0,0.670775891151,79057,193.118155956,-68.4105987549,7.29049178123,0.11441423744,66.0333664703,-68.4800491333,1976.425,-26.7257375079,0.149862274528,0.291199892759,-12417.5536651,40.0,0.2,19.9313850403,-0.109789848328,0.0222173944614,409.371141768,2,20.0266189575,0.766373157501,-12417.5536651
,0.657095134258,60.0,0.663153506765,117389,286.640026808,-108.673950195,18.5930033636,0.114127218723,108.682658539,-106.795570374,1956.48333333,-48.3649994497,0.145515233278,-0.323427557945,-12546.4128472,60.0,0.2,32.1252861023,0.114481173456,0.179524540975,409.534569569,3,32.3572006226,0.566105246544,-12546.4128472
,0.678129017353,80.0,0.65688306596,156383,379.176510572,-130.386779785,19.9028760624,0.113985963166,132.428202057,-128.052124023,1954.7875,-66.9449638201,0.147307291627,-0.582149147987,-11910.4894615,80.0,0.2,37.072883606,-0.555048048496,0.104862179067,412.427973885,4,37.614315033,0.531348347664,-11910.4894615
,0.846816658974,100.0,0.676706170196,196423,475.887475491,-152.70904541,32.5963541508,0.114707924426,154.812128296,-150.738586426,1964.23,-82.0833041686,0.146029829979,-0.197739735246,-12202.0070747,100.0,0.2,47.2331924438,-0.66497284174,0.0313924266477,412.750934026,5,46.6015396118,0.457973450422,-12202.0070747
,0.907573223114,120.0,0.683844493936,235708,570.391264677,-177.250152588,19.2280664253,0.113139010966,179.168924866,-175.949630737,1964.23333333,-96.8377723866,0.146410644054,-0.148856073618,-12246.6584638,120.0,0.121607764938,55.1666412354,0.0847975090146,-0.0172635403447,413.239147576,6,55.0547714233,0.77619767189,-12652.9547057
,0.900768637657,140.0,0.697005480021,275748,664.926974535,-201.648712158,49.6321568298,0.113876476884,204.939153137,-200.64704895,1969.62857143,-112.389412266,0.148009806871,-0.190592825413,-12591.1203892,140.0,0.121607764938,66.5996627808,0.135651633143,-0.0189726542815,414.704186415,7,65.8636474609,0.749891221523,-12660.5470789
,0.860587358475,160.0,0.712084904156,315788,759.741265535,-230.856506348,60.0603614616,0.112056784332,235.256182556,-230.268249512,1973.675,-128.081298329,0.147719889879,-0.0225851684809,-13011.8609394,160.0,0.0739422424658,72.9065475464,-0.0948837995529,-0.0823227562684,415.652030929,8,72.7047576904,0.850805580616,-13291.1297948
,0.89143037796,180.0,0.721098401416,355828,854.734671354,-258.077606201,88.7905127525,0.112869910896,264.470572205,-257.02722168,1976.82222222,-141.727599705,0.147264584899,0.0787145867944,-13235.9687657,180.0,0.0477256850534,76.6004333496,0.0848178640008,-0.0968967450494,416.302288798,9,77.4995193481,0.850363731384,-14296.3522091
,0.920793831348,200.0,0.728274063213,394685,948.557606697,-276.194458008,129.90019949,0.11279437691,284.188410034,-276.209350586,1973.425,-154.139032786,0.147705212235,0.156993106008,-13189.8565326,200.0,0.0383426343286,78.9667434692,0.140796616673,-0.048427437597,416.089647285,10,80.5562820435,0.892135262489,-14177.7059906
