obs_rms_mean,rollout/return,rollout/actions_mean,train/param_noise_distance,reference_action_mean,reference_perturbed_action_mean,rollout/episodes,reference_Q_std,rollout/episode_steps,total/steps_per_second,total/duration,reference_actor_Q_mean,reference_perturbed_action_std,rollout/return_history,total/steps,param_noise_stddev,rollout/Q_mean,train/loss_critic,reference_action_std,obs_rms_std,total/epochs,rollout/actions_std,reference_actor_Q_std,train/loss_actor,total/episodes,reference_Q_mean
0.0889635533094,120.984413275,0.112125802763,,-0.0265690367669,0.277006596327,20.0,1.17448329926,1965.7,255.416873078,153.920919657,1.72472167015,0.536429345608,120.984413275,39314,0.2,0.211339584269,0.852029751986,0.694866299629,0.119807943702,1,0.486341983766,1.3372181654,-1.51818516731,20.0,1.1500082016
0.0867800265551,1136.76465389,0.217102324581,,0.300316333771,0.0272182673216,40.0,9.39826583862,1818.25,246.753616982,294.747452497,14.3865222931,0.688209056854,1136.76465389,72730,0.2,4.67430848108,5.81860554099,0.903655171394,0.129648387432,2,0.496601015883,9.83816051483,-15.1269870377,40.0,13.0644493103
0.0830789804459,1209.61523126,0.29646801362,,-0.0129859484732,-0.223959952593,60.0,15.7398042679,1615.26666667,238.207420872,406.855502844,36.0067596436,0.855801641941,1209.61523126,96916,0.2,7.63317228908,9.18139845133,0.825109302998,0.140298813581,3,0.521113482916,15.9242601395,-32.8556817245,60.0,34.0215110779
0.0840297490358,2137.56191882,0.32677125813,,-0.0741438269615,0.271563649178,80.0,28.7373352051,1407.7875,228.716647459,492.412779093,47.2687797546,0.858413636684,2137.56191882,112623,0.2,12.7379662697,42.377819767,0.920133590698,0.14400921762,4,0.520936612017,30.6022720337,-49.0673487091,80.0,46.5991592407
0.0878994017839,3922.21226571,0.32770263861,,0.105832323432,0.230389088392,100.0,34.8412017822,1221.27,217.858932883,560.578344822,46.0450592041,0.875921010971,3922.21226571,122127,0.2,21.4960332841,149.070360336,0.938107669353,0.152726858854,5,0.52080181692,35.4431266785,-62.2732268524,100.0,43.3849487305
0.0897461175919,4278.8617293,0.335559579916,,0.292804062366,0.313093900681,120.0,44.290473938,1083.8,208.404425323,624.055846214,59.7638778687,0.928691923618,5110.43719251,130056,0.124052081013,29.4388644214,305.14668272,0.936727941036,0.15626566112,6,0.520467719991,44.0108718872,-84.4726082611,120.0,55.1618499756
0.0910273343325,4381.42924111,0.350194673539,,0.296626120806,0.309141665697,140.0,64.5440826416,991.507142857,201.234514314,689.797177553,82.4437713623,0.930516064167,5679.295076,138811,0.124052081013,38.979045256,233.464298325,0.941826581955,0.159388154745,7,0.521203346336,67.5084686279,-120.61747406,140.0,75.1562042236
0.0911360532045,4087.55441807,0.366470608236,,0.242708593607,-0.0217140056193,160.0,105.523292542,923.2875,195.359164559,756.176452398,133.293518066,0.778552412987,5814.31793016,147726,0.124052081013,47.0015114863,379.720049286,0.915796279907,0.161792933941,8,0.523535124753,112.761558533,-167.159248047,160.0,128.703704834
0.0913549289107,3967.61160694,0.389447255023,,0.118579104543,0.205624878407,180.0,135.197296143,892.605555556,192.418699849,834.996807098,183.277023315,0.869834661484,5431.65135743,160669,0.124052081013,59.4287239315,492.16968399,0.812389314175,0.162494167686,9,0.524907537575,140.145706177,-220.873786011,180.0,173.139694214
0.090998031199,3719.22052731,0.429795738602,,0.158567413688,-0.333664029837,200.0,169.822052002,908.645,194.066256599,936.427605629,275.746734619,0.623895943165,3516.22878891,181729,0.124052081013,72.7704557362,653.349686279,0.799226760864,0.164388850331,10,0.522732218661,171.644317627,-305.503995667,200.0,273.187774658
0.0915443599224,3659.66571638,0.455103045201,,0.0210007354617,-0.147492006421,220.0,201.009490967,917.068181818,194.599195895,1036.77201271,332.422943115,0.690603137016,2916.63050088,201755,0.124052081013,101.422703938,740.764700623,0.84565538168,0.163901135325,11,0.519765817573,208.896392822,-363.763271484,220.0,327.729614258
0.0929595530033,3986.26679602,0.448940619465,,-0.0661603063345,0.0648298040032,240.0,214.385452271,900.2625,193.073587504,1119.07072735,373.525634766,0.79655456543,3433.03937289,216063,0.124052081013,135.944389608,1285.54432968,0.839684963226,0.166435077786,12,0.513810626039,223.725128174,-406.81815918,240.0,348.350280762
0.0938011929393,4004.04742742,0.430245540928,,-0.00571475271136,-0.180438235402,260.0,222.927017212,883.173076923,191.459019058,1199.34282088,376.247314453,0.82081836462,3870.43624237,229625,0.0769445940183,159.600889126,1124.67239624,0.844617247581,0.168500050902,13,0.513526425051,221.798400879,-441.83147522,260.0,375.718688965
0.0946536958218,3905.12046122,0.413112440883,,-0.0614730119705,-0.0765393152833,280.0,188.944534302,845.282142857,187.948096456,1259.27851605,383.094238281,0.815160870552,3792.63639893,236679,0.0769445940183,171.683441161,1271.31221222,0.87485229969,0.169060587883,14,0.519095624641,188.140472412,-470.133712769,280.0,383.292266846
0.0954062044621,3806.43503774,0.402128679253,,0.0172018576413,-0.126613467932,300.0,196.709945679,806.34,184.051144298,1314.31945682,403.674865723,0.702745854855,3980.8640586,241902,0.0769445940183,181.32530127,1170.15550507,0.845316290855,0.169311106205,15,0.52182647355,197.237960815,-487.206468506,300.0,398.638916016
