reference_actor_Q_std,reference_Q_mean,reference_Q_std,rollout/episodes,reference_perturbed_action_mean,obs_rms_mean,rollout/return_history,train/loss_critic,total/steps,reference_action_std,reference_action_mean,rollout/Q_mean,train/loss_actor,rollout/return,total/duration,total/steps_per_second,rollout/actions_std,reference_actor_Q_mean,rollout/episode_steps,total/epochs,total/episodes,reference_perturbed_action_std,rollout/actions_mean,obs_rms_std,param_noise_stddev,train/param_noise_distance
2902.36157227,4345.59423828,2849.54150391,20.0,0.250016778708,0.16364569962,70962.811997,72389.1055859,23538,0.976211905479,0.0997659415007,3943.65455653,-4309.99084473,70962.811997,113.510793686,207.363539939,0.728848740665,4392.95410156,1176.9,1,20.0,0.924616158009,0.0493656843115,0.171273812652,0.2,
2725.83959961,4708.23242188,2731.83227539,40.0,0.100077576935,0.163976728916,73580.4971446,76086.0202344,50541,0.95851534605,0.199809163809,4552.54572484,-4932.84896484,73580.4971446,248.756149054,203.174877052,0.760806707154,4722.35449219,1263.525,2,40.0,0.953752100468,0.057682188072,0.17133435607,0.2,
2516.97558594,5059.59082031,2517.87353516,60.0,-0.00738639105111,0.16407084465,57003.2638942,60156.8214648,66134,0.949646532536,0.134670421481,4343.84642607,-4908.50345215,57003.2638942,339.440671206,194.832280307,0.759155711508,5072.12988281,1102.23333333,3,60.0,0.965538859367,0.0335662523703,0.171454787254,0.2,
2296.53808594,5239.63183594,2299.75195312,80.0,-0.00844722613692,0.164419591427,62119.6888459,41664.4413281,97529,0.943315505981,0.0720646828413,4438.2656375,-5031.86259277,62119.6888459,489.012829781,199.440575094,0.778962011455,5253.52539062,1219.1125,4,80.0,0.98000138998,0.0192508812351,0.171585410833,0.2,
2179.10693359,5474.83203125,2177.52172852,100.0,0.166857153177,0.16471940279,60961.3714722,34971.6832812,117442,0.963599860668,0.0178629178554,4588.45481871,-5234.94595703,60961.3714722,590.681912899,198.824439068,0.762915292146,5490.5234375,1174.42,5,100.0,0.93972158432,0.0115544208505,0.171703666449,0.124052081013,
2090.62060547,5708.41259766,2088.66625977,120.0,0.0787816643715,0.165280014277,68071.9794714,27517.4917773,145756,0.961887001991,0.0287016257644,4773.7035604,-5448.22945312,68553.7848923,729.84327817,199.708628359,0.730845355139,5731.72363281,1214.63333333,6,120.0,0.939512848854,0.0137438162148,0.171951681376,0.124052081013,
2048.19775391,5982.59814453,2045.64196777,140.0,0.0819738283753,0.165935873985,76092.386591,51485.0436328,178068,0.960557341576,0.0292241238058,4909.23817632,-5721.73123047,75374.703892,896.068072081,198.721509613,0.721735229432,6006.359375,1271.91428571,7,140.0,0.931365966797,0.0208248836411,0.172217309475,0.124052081013,
1999.85412598,6202.56738281,1997.11547852,160.0,-0.0262562278658,0.166632145643,97185.9048451,24102.4927441,212905,0.955376148224,0.0298053827137,5027.67090217,-5830.06398437,82117.4144885,1078.34303832,197.437172063,0.710534697938,6224.72460938,1330.65625,8,160.0,0.945268929005,0.0207181563987,0.172554567456,0.124052081013,
1992.03991699,6308.78955078,1990.71569824,180.0,0.0313174463809,0.167467713356,116080.749126,21355.7596582,251231,0.953032314777,0.0187780074775,5220.64616986,-6052.1981543,92098.0556685,1281.17435503,196.094309111,0.685718233472,6331.02050781,1395.72777778,9,180.0,0.955809891224,0.0199431373099,0.173068493605,0.124052081013,
1983.53955078,6428.36962891,1983.67993164,200.0,0.0630667060614,0.168450146914,147879.029376,38236.4119629,296043,0.94911134243,-0.0268618911505,5525.07332843,-6483.37283203,104420.200424,1493.24066329,198.25538326,0.66669959751,6448.89697266,1480.215,10,200.0,0.94926071167,0.0187762782932,0.173639506102,0.124052081013,
1993.85778809,6633.63037109,1992.34960938,220.0,0.113165445626,0.169070243835,151622.93617,22429.599873,321639,0.94361191988,-0.0457237660885,5621.04062456,-6769.4549707,106312.490019,1654.29271984,194.42689685,0.653031613911,6656.671875,1461.99545455,11,220.0,0.923988640308,0.0194908758318,0.174080237746,0.124052081013,
2039.88464355,6824.02539062,2042.20532227,240.0,0.0153081109747,0.169419407845,145423.620431,22297.3481055,346167,0.935249269009,-0.000929875764996,5708.98632717,-6943.27738281,104561.75245,1799.58700085,192.359135645,0.645035126078,6842.75537109,1442.3625,12,240.0,0.953923285007,0.0134639456368,0.17430755496,0.124052081013,
2086.54736328,6852.32617188,2090.02685547,260.0,-0.235178083181,0.170161396265,145854.081131,31882.2981934,377682,0.917748630047,0.0318489074707,5796.83954468,-7114.25410156,106631.517043,1977.16990185,191.021520026,0.635580552227,6868.32519531,1452.62307692,13,260.0,0.943793654442,0.00849105450445,0.174833774567,0.124052081013,
2122.01147461,7019.24755859,2124.73120117,280.0,0.0373480916023,0.170810997486,138097.562881,48852.94375,414024,0.915971815586,-0.025715617463,5889.77531795,-7141.49813477,108526.451102,2171.52322888,190.660636042,0.635626601482,7037.41162109,1478.65714286,14,280.0,0.937299787998,0.000918203817787,0.175257205963,0.124052081013,
2119.45825195,7117.00097656,2121.69335938,300.0,-0.108071669936,0.171322077513,116920.977283,46041.4078906,445096,0.907330214977,0.0317093506455,5945.11759184,-7321.84186523,108587.126044,2332.91637301,190.78952214,0.628104292485,7132.15527344,1483.65333333,15,300.0,0.90769380331,-0.0108356770398,0.175638884306,0.124052081013,
2245.1003418,7252.44873047,2247.72509766,320.0,-0.0472940728068,0.171601429582,108874.190098,28553.4744727,471150,0.913368880749,0.00853239744902,5977.95501682,-7411.52913086,107113.021293,2465.51965737,191.095616939,0.623344769596,7269.38964844,1472.34375,16,320.0,0.920449852943,-0.0168193648795,0.175948768854,0.0800688530833,0.32899827987
2301.22485352,7358.12646484,2303.28393555,340.0,-0.148252889514,0.172617226839,131894.145154,26828.020498,516410,0.90782481432,-0.0195538029075,6138.1237702,-7666.27204102,112600.69148,2694.09708977,191.682030303,0.607860249801,7376.36230469,1518.85294118,17,340.0,0.927038431168,-0.0147041340263,0.176733896136,0.0800688530833,
2322.40209961,7502.32421875,2328.09667969,360.0,-0.0758112818003,0.173538401723,146578.506041,22892.7161914,557758,0.90772908926,-0.0916346311569,6316.29322634,-7780.29619141,117727.902876,2917.07966638,191.204239784,0.594379543276,7523.64550781,1549.32777778,18,360.0,0.925352215767,-0.0122905524857,0.177252545953,0.0605989559372,
